PLAYER_ID,Restricted Area_FGM,Restricted Area_FGA,Restricted Area_FG_PCT,In The Paint (Non-RA)_FGM,In The Paint (Non-RA)_FGA,In The Paint (Non-RA)_FG_PCT,Mid-Range_FGM,Mid-Range_FGA,Mid-Range_FG_PCT,Left Corner 3_FGM,Left Corner 3_FGA,Left Corner 3_FG_PCT,Right Corner 3_FGM,Right Corner 3_FGA,Right Corner 3_FG_PCT,Above the Break 3_FGM,Above the Break 3_FGA,Above the Break 3_FG_PCT,Backcourt_FGM,Backcourt_FGA,Backcourt_FG_PCT,PLAYER_NAME,FGA,FG3A,FTA,PTS,USG_PCT,TS_PCT,EFG_PCT,OFF_RATING,FTA/FGA,PPS,Cluster
1629001,0.7,1.5,0.444,0.8,1.3,0.625,0,0.3,0,0.3,0.3,1,0.2,0.4,0.5,1.7,5.2,0.323,0,0,0,De'Anthony Melton,9,5.8,1.3,10.3,0.223,0.539,0.528,108.3,0.144444444,1.144444444,3
1630544,1.8,4,0.442,1.2,2.5,0.5,0.5,1.3,0.412,0.3,0.5,0.571,0.2,0.6,0.25,1.4,3.5,0.4,0,0,0,Tre Mann,12.4,4.6,1.6,14.1,0.25,0.537,0.509,107,0.129032258,1.137096774,3
1641764,1,1.6,0.663,1,2.2,0.468,0.5,1.3,0.413,0.3,0.5,0.545,0.1,0.4,0.182,1.5,3.9,0.372,0,0.1,0,Brandin Podziemski,9.8,4.8,1.5,11.7,0.177,0.557,0.537,111.6,0.153061224,1.193877551,3
1631166,2.3,4,0.583,1.6,3,0.519,0.1,0.4,0.25,0.2,0.4,0.5,0,0.2,0,0.8,3.1,0.25,0,0.1,0,Drew Timme,11.3,3.9,1.8,12.1,0.205,0.5,0.485,102.8,0.159292035,1.07079646,3
203915,0.9,1.5,0.582,1,2.1,0.461,0.3,0.9,0.403,0.2,0.4,0.483,0.2,0.4,0.353,1.1,3.3,0.316,0,0,0,Spencer Dinwiddie,8.6,4.1,3.1,11,0.175,0.553,0.496,110.1,0.360465116,1.279069767,3
1630631,0.8,1.4,0.544,0.7,2,0.366,0.2,0.4,0.429,0.2,0.5,0.48,0.2,0.7,0.282,1.6,4.4,0.361,0,0,0,Jose Alvarado,9.3,5.5,1.3,10.3,0.193,0.523,0.498,108.4,0.139784946,1.107526882,3
1628398,2.5,3.6,0.699,1.2,3.3,0.38,0.4,1.3,0.329,0.3,0.7,0.457,0.1,0.6,0.205,1,3.5,0.293,0,0.1,0.25,Kyle Kuzma,13,4.8,3.1,14.8,0.233,0.514,0.493,105.8,0.238461538,1.138461538,3
203471,1.2,2.1,0.561,0.8,2.2,0.358,0.9,1.8,0.464,0.1,0.3,0.435,0.1,0.2,0.615,1.5,4.4,0.328,0,0.1,0,Dennis Schröder,11,4.9,2.9,13.1,0.211,0.531,0.483,111.8,0.263636364,1.190909091,3
1630703,1.7,3.1,0.553,0.7,1.8,0.373,0.4,1,0.375,0.2,0.3,0.435,0.1,0.3,0.364,1.3,3.8,0.347,0,0.1,0.25,Scoot Henderson,10.4,4.5,3.1,12.7,0.22,0.54,0.496,112.5,0.298076923,1.221153846,3
1630581,2.1,3.6,0.576,1.4,3,0.483,0.3,0.8,0.328,0.3,0.7,0.413,0.2,0.5,0.364,1,2.8,0.369,0,0,1,Josh Giddey,11.4,4,3.2,14.6,0.214,0.57,0.531,113.1,0.280701754,1.280701754,3
1626171,1.7,2.6,0.656,1.2,2.4,0.479,1.4,3.5,0.418,0.2,0.4,0.4,0.3,0.6,0.464,0.9,2.7,0.338,0,0,0,Bobby Portis,12.1,3.6,1.5,13.9,0.234,0.542,0.52,114.1,0.123966942,1.148760331,3
